price,area,Mã tin,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
"5,19 tỷ","94 m
2",15155012,_,1.0,Cần bán,"7,5m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,6m,2,1.0,,6,
11 tỷ,"90 m
2",15166135,Đông,1.0,Cần bán,10m,1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,"4,5m",5,1.0,,12,
"3,95 tỷ","74 m
2",15167835,Đông,1.0,Cần bán,4m,1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,5m,1,1.0,,2,
"13,7 tỷ","80 m
2",15176828,Đông,,Cần bán,10m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,5m,4,,16m,4,
"2,89 tỷ","40 m
2",15169833,_,1.0,Cần bán,3m,1.0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1.0,"4,8m",2,1.0,,2,
"3,2 tỷ","51 m
2",15177525,Tây Nam,1.0,Cần bán,"3,7m",1.0,Nhà mặt tiền,,,"4,1m",1,1.0,,2,
"5,05 tỷ","56 m
2",15061511,_,1.0,Cần bán,4m,1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,"4,5m",1,1.0,"12,5m",3,
25 tỷ,"130 m
2",15071588,_,1.0,Cần bán,"7,5m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,7m,3,1.0,19m,3,
"2,75 tỷ","58 m
2",15077047,Tây Bắc,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"3,7m",1,,15m,2,
"4,2 tỷ","75 m
2",14079635,Tây,,Cần bán,5m,,Nhà mặt tiền,,,5m,1,,15m,3,
"10,5 tỷ","125 m
2",15172544,_,,Cần bán,25m,,Nhà mặt tiền,,,,3,,,3,
10 tỷ,"100 m
2",15130347,_,,Cần bán,10m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,5m,3,,,4,
13 tỷ,"110 m
2",15136063,_,,Cần bán,15m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,"6,5m",4,,,4,
"13,7 tỷ","268 m
2",15097924,_,1.0,Cần bán,4m,1.0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1.0,13m,2,1.0,21m,9,
"6,5 tỷ","80 m
2",15163932,_,1.0,Cần bán,5m,1.0,Nhà mặt tiền,,1.0,5m,1,1.0,,1,
"9,92 tỷ","124 m
2",15171720,_,,Cần bán,"7,5m",,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,"4,6m",1,,"26,9m",1,
16 tỷ,"600 m
2",15171503,_,1.0,Cần bán,"7,5m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,5m,8,1.0,,15,
"7,699 tỷ","100 m
2",14632115,Tây Nam,1.0,Cần bán,"7,5m",1.0,Nhà mặt tiền,,1.0,5m,3,1.0,20m,3,
"7,868 tỷ","100 m
2",14580015,Đông,1.0,Cần bán,"7,5m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,5m,4,1.0,20m,5,
69 tỷ,"290 m
2",15118636,_,,Cần bán,11m,,Nhà mặt tiền,,,,7,,,27,
"3,8 tỷ","65 m
2",15169153,_,1.0,Cần bán,5m,1.0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,5m,1,1.0,13m,2,
"9,5 tỷ","122 m
2",14965828,_,,Cần bán,20m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,,1,,,2,
"7,1 tỷ","90 m
2",15159619,_,1.0,Cần bán,"5,5m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,5m,3,,18m,2,
"4,7 tỷ","188 m
2",15128193,_,,Cần bán,6m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,,4,,,4,
"7,6 tỷ","74 m
2",14510568,_,,Cần bán,7m,,Nhà mặt tiền,,,"4,5m",4,,"16,5m",3,
"7,8 tỷ","90 m
2",14398324,_,,Cần bán,,,Nhà mặt tiền,,,,,,,,
"7,8 tỷ","96 m
2",15056171,_,,Cần bán,7m,,Nhà mặt tiền,,,5m,2,,"19,2m",2,
"1,55 tỷ","51 m
2",15017791,Tây Bắc,1.0,Cần bán,3m,1.0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1.0,6m,2,1.0,7m,2,
"6,8 tỷ","79 m
2",15179868,Đông,,Cần bán,"5,5m",,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,"4,5m",4,,"17,5m",4,
"10,9 tỷ","82 m
2",15176925,_,,Cần bán,"5,5m",,Nhà mặt tiền,,,5m,5,,"16,5m",8,
10 tỷ,"75 m
2",14875606,Bắc,,Cần bán,"5,6m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,5m,5,1.0,15m,16,
"4,95 tỷ","73 m
2",15179114,_,,Cần bán,4m,,Nhà trong hẻm,,,,2,,,3,
