price,Diện tích,Phòng ngủ,Phòng tắm,Giấy tờ pháp lý,Vị trí,Số tầng,Hướng,Chiều rộng,Chiều dài,Năm xây dựng,Hiện trạng nhà,Trạng thái sử dụng,Đường rộng,Kết cấu
12.3 tỷ,76 m²,4,3,Sổ hồng,Mặt tiền,2,Tây Bắc,3.4 m,21.15 m,2011,Đang ở,Đã qua sử dụng,10 m,Nhà cấp 3
10.5 tỷ,188 m²,5,5,Sổ hồng,,1,,8 m,23.5 m,,Nhà trống,,,
12.7 tỷ,88 m²,4,4,Sổ hồng,,4,,5 m,17.5 m,,Đang ở,,,
7.5 tỷ,65 m²,5,5,Sổ đỏ,,4,,4.5 m,14.5 m,,Nhà trống,,,
36 tỷ,196 m²,3,3,Sổ đỏ,,2,,26 m,8 m,,Nhà trống,,,
13.9 tỷ,60 m²,4,5,Sổ hồng,,4,,4.5 m,16 m,,Đang ở,,,
6.3 tỷ,118 m²,3,2,Sổ đỏ,,2,,5 m,24 m,,Đang ở,,,
5.45 tỷ,90 m²,4,3,,,4,,,,,,,,
2.75 tỷ,40 m²,3,2,Sổ hồng,,2,,3.6 m,12 m,,Nhà trống,,,
6.5 tỷ,100 m²,3,3,Hợp đồng mua bán,,2,,,,,,,,
1.5 tỷ,226 m²,3,5,Sổ đỏ,,3,,13 m,19 m,,Đang ở,,,
3.7 tỷ,50 m²,5,2,Sổ hồng,,4,,4 m,12.5 m,,Đang ở,,,
24 tỷ,130 m²,4,5,Sổ đỏ,,3,,7 m,20 m,,Đang ở,,,
4.75 tỷ,66 m²,4,4,Sổ hồng,,4,,4.3 m,15 m,,Đang ở,,,
21 tỷ,100 m²,5,5,Sổ hồng,,5+,,5 m,20 m,,Đang ở,,,
6.5 tỷ,210 m²,4,4,Sổ đỏ,,3,,1 m,1 m,,Đang ở,,,
4.75 tỷ,66 m²,4,4,Sổ hồng,,4,,4.3 m,15 m,,Đang ở,,,
7.2 tỷ,90 m²,,,,,,,,,,,,,
